uri,code,title,class_kind,semantic_level,depth,parent_uri,parent_code,parent_title,child_count,is_leaf,is_three_character_code,is_terminal_code,browser_url
http://id.who.int/icd/release/10/2019/B01,B01,Varicella [chickenpox],category,three_character,3,http://id.who.int/icd/release/10/2019/B00-B09,B00-B09,Viral infections characterized by skin and mucous membrane lesions,5,false,true,false,http://apps.who.int/classifications/icd10/browse/2019/en#/B01
http://id.who.int/icd/release/10/2019/B01.0,B01.0,Varicella meningitis,category,final_code,4,http://id.who.int/icd/release/10/2019/B01,B01,Varicella [chickenpox],0,true,false,true,http://apps.who.int/classifications/icd10/browse/2019/en#/B01.0
http://id.who.int/icd/release/10/2019/B01.1,B01.1,Varicella encephalitis,category,final_code,4,http://id.who.int/icd/release/10/2019/B01,B01,Varicella [chickenpox],0,true,false,true,http://apps.who.int/classifications/icd10/browse/2019/en#/B01.1
http://id.who.int/icd/release/10/2019/B01.2,B01.2,Varicella pneumonia,category,final_code,4,http://id.who.int/icd/release/10/2019/B01,B01,Varicella [chickenpox],0,true,false,true,http://apps.who.int/classifications/icd10/browse/2019/en#/B01.2
http://id.who.int/icd/release/10/2019/B01.8,B01.8,Varicella with other complications,category,final_code,4,http://id.who.int/icd/release/10/2019/B01,B01,Varicella [chickenpox],0,true,false,true,http://apps.who.int/classifications/icd10/browse/2019/en#/B01.8
http://id.who.int/icd/release/10/2019/B01.9,B01.9,Varicella without complication,category,final_code,4,http://id.who.int/icd/release/10/2019/B01,B01,Varicella [chickenpox],0,true,false,true,http://apps.who.int/classifications/icd10/browse/2019/en#/B01.9
http://id.who.int/icd/release/10/2019/B02,B02,Zoster [herpes zoster],category,three_character,3,http://id.who.int/icd/release/10/2019/B00-B09,B00-B09,Viral infections characterized by skin and mucous membrane lesions,7,false,true,false,http://apps.who.int/classifications/icd10/browse/2019/en#/B02
http://id.who.int/icd/release/10/2019/B02.0,B02.0,Zoster encephalitis,category,final_code,4,http://id.who.int/icd/release/10/2019/B02,B02,Zoster [herpes zoster],0,true,false,true,http://apps.who.int/classifications/icd10/browse/2019/en#/B02.0
http://id.who.int/icd/release/10/2019/B02.1,B02.1,Zoster meningitis,category,final_code,4,http://id.who.int/icd/release/10/2019/B02,B02,Zoster [herpes zoster],0,true,false,true,http://apps.who.int/classifications/icd10/browse/2019/en#/B02.1
http://id.who.int/icd/release/10/2019/B02.2,B02.2,Zoster with other nervous system involvement,category,final_code,4,http://id.who.int/icd/release/10/2019/B02,B02,Zoster [herpes zoster],0,true,false,true,http://apps.who.int/classifications/icd10/browse/2019/en#/B02.2
