code,title,chapter_no,selectable,sex,age,rule,restriction_rule,residual,leaf,flags
1B90,Rat-bite fevers,01,yes,both,all,annex,default,no,no,
1B90.0,Spirillosis,01,yes,both,all,annex,icd10 A25.0,no,yes,
1B90.1,Streptobacillosis,01,yes,both,all,annex,icd10 A25 A25.1 A25.9,no,yes,
1B90.Y,Other specified rat-bite fevers,01,yes,both,all,annex,default,yes,yes,
1B90.Z,"Rat-bite fevers, unspecified",01,yes,both,all,annex,default,yes,yes,
1B91,Leptospirosis,01,yes,both,all,annex,icd10 A27 A27.0 A27.8 A27.9,no,yes,
1B92,Glanders,01,yes,both,all,annex,icd10 A24.0,no,yes,
1B93,Plague,01,yes,both,all,annex,default,no,no,
1B93.0,Bubonic plague,01,yes,both,all,annex,icd10 A20.0,no,yes,
1B93.1,Cellulocutaneous plague,01,yes,both,all,annex,icd10 A20.1,no,yes,
1B93.2,Pneumonic plague,01,yes,both,all,annex,icd10 A20.2,no,yes,
1B93.3,Plague meningitis,01,yes,both,all,annex,icd10 A20.3,no,yes,
1B93.Y,Other specified plague,01,yes,both,all,annex,default,yes,yes,
1B93.Z,"Plague, unspecified",01,yes,both,all,annex,icd10 A20 A20.7 A20.8 A20.9,yes,yes,
1B94,Tularaemia,01,yes,both,all,annex,default,no,no,
1B94.0,Ulceroglandular tularaemia,01,yes,both,all,annex,icd10 A21.0,no,yes,
1B94.Y,Other specified tularaemia,01,yes,both,all,annex,icd10 A21.1 A21.2 A21.3 A21.7,yes,yes,
1B94.Z,"Tularaemia, unspecified",01,yes,both,all,annex,icd10 A21 A21.8 A21.9,yes,yes,
1B95,Brucellosis,01,yes,both,all,annex,icd10 A23 A23.0 A23.1 A23.2 A23.3 A23.8 A23.9,no,yes,
1B96,Erysipeloid,01,yes,both,all,annex,icd10 A26 A26.0 A26.8 A26.9,no,yes,
1B97,Anthrax,01,yes,both,all,annex,icd10 A22 A22.0 A22.1 A22.2 A22.7 A22.8 A22.9,no,yes,
1B98,Cat-scratch disease,01,yes,both,all,annex,icd10 A28.1,no,yes,
1B99,Pasteurellosis,01,yes,both,all,annex,icd10 A28.0,no,yes,
1B9A,Extraintestinal yersiniosis,01,yes,both,all,annex,icd10 A28.2,no,yes,
1B9Z,Unspecified zoonotic bacterial disease,01,yes,both,all,annex,icd10 A28 A28.8 A28.9,yes,yes,
1C10,Actinomycosis,01,yes,both,all,annex,default,no,no,
1C10.0,Pulmonary actinomycosis,01,yes,both,all,annex,icd10 A42.0,no,yes,
1C10.1,Abdominal actinomycosis,01,yes,both,all,annex,icd10 A42.1,no,yes,
1C10.2,Cervicofacial actinomycosis,01,yes,both,all,annex,icd10 A42.2,no,yes,
1C10.3,Primary cutaneous actinomycosis,01,yes,both,all,annex,default,no,yes,
1C10.Y,Other specified forms of actinomycosis,01,yes,both,all,annex,default,yes,yes,
1C10.Z,"Actinomycosis, unspecified",01,yes,both,all,annex,icd10 A42 A42.7 A42.8 A42.9,yes,yes,
1C11,Bartonellosis,01,yes,both,all,annex,default,no,no,
1C11.0,Carrion disease,01,yes,both,all,annex,default,no,no,
1C11.00,Oroya fever,01,yes,both,all,annex,icd10 A44.0,no,yes,
1C11.01,Verruga peruana,01,yes,both,all,annex,icd10 A44.1,no,yes,
1C11.0Z,"Carrion disease, unspecified",01,yes,both,all,annex,default,yes,yes,
